latitude, longitude, name, bus_line
55.6408875,12.5542933,A,"Bus 8A: Valby St. - Lergravsparken St."
55.6431585,12.5465168,A,"Bus 8A: Lergravsparken St. - Valby St."
55.641528,12.5628636,A,"Bus 8A: Lergravsparken St. - Valby St."
55.7230511,12.5776738,n/a,"Bus 23: Klampenborg St. => Valby St."
55.6833853,12.4930069,n/a,"Bus 21: Hellerup St. => Rødovre St."
55.7403841,12.566346,n/a,"Bus 192: Charlottenlund Fort => Lyngby Station"
55.7972945,12.5889397,n/a,"Bus 388: Helsingør St. => Lyngby St."
55.8379703,12.5723076,n/a,"Bus 388: Helsingør St. => Lyngby St."
55.8982091,12.534747,n/a,"Bus 388: Helsingør St. => Lyngby St."
55.715864,12.5321108,A,"Bus 4A: Buddinge St. => Friheden St."
55.7735251,12.5927213,n/a,"Bus 23: Klampenborg St. => Valby St."
55.8269597,12.4298445,S,"Bus 500S: Kokkedal St. => Ørestad St."
54.6535587,11.3515647,N,"Flixbus N110(part DK): Kopenhagen Ingerslevsgade => Rødby, Fährhafen"
55.7770604,12.150849,S,"Bus 600S: Ishøj St. => Hillerød St."
55.9277037,12.3109477,n/a,"Bus: 335: Hillerød St. => Farum St."
55.8851316,12.1956147,S,"Bus 600S: Hillerød St. => Ishøj St."
55.7094208,12.464305,S,"Bus 200S: Avedøre Holme => Buddinge St."
55.8944622,11.952846,n/a,"Bus 316: Frederikssund St. => Kulhuse Havn"
55.9046917,11.9407502,n/a,"Bus 316: Kulhuse Havn => Frederikssund St."
55.6507521,12.4830945,n/a,"Bus 133: Avedøre St. => Valby St."
55.8767273,12.4870617,S,"Bus 500S: Kokkedal St. => Ørestad St."
55.6465361,12.4149945,S,"Bus 500S: Ørestad St. => Kokkedal St."
55.706438,13.1872384,N,"Flixbus N73: Hannover ZOB => Lund, busstation"
55.7679316,12.1236189,S,"Bus 600S: Hillerød St. => Ishøj St."
55.7684397,12.1246415,S,"Bus 600S: Ishøj St. => Hillerød St."
55.5938257,12.1709976,S,"Bus 600S: Ishøj St. => Hillerød St."
55.6143598,12.4702039,S,"Bus 500S: Kokkedal St. => Ørestad St."
55.7513664,12.373598,S,"Bus 500S: Kokkedal St. => Ørestad St."
55.8783687,12.4983903,S,"Bus 500S: Ørestad St. => Kokkedal St."
55.6515367,12.2220472,n/a,"Bus 123: Glostrup St. => Roskilde St."
55.5945033,12.3222799,S,"Bus 600S: Ishøj St. => Hillerød St."
55.6819214,12.5528509,S,"Bus 250S: Dragør Stationsplads => Bagsværd St."
55.6799024,12.5482884,A,"Bus 1A: Avedøre Station => Hellerup Station"
55.6815141,12.5225232,A,"Bus 4A: Buddinge St. => Friheden St."
55.6800162,12.3966233,S,"Bus 500S: Ørestad St. => Kokkedal St."
55.6588088,12.4032094,S,"Bus 500S: Kokkedal St. => Ørestad St."
55.6614756,12.4352075,n/a,"Bus 22: Husum Torv => Kornmarksvej => Brøndbyvej => Glostrup St., Glosemosevej"
55.5083248,12.2022623,n/a,"121: Solrød Strand St. - Køge St., Østre Banevej"
55.4902913,12.1831292,n/a,"121: Solrød Strand St. - Køge St., Østre Banevej"
55.7374255,12.4749477,S,"Bus 200S: Buddinge St. => Avedøre Holme"
55.5960428,12.1928739,S,"Bus 600S: Hillerød St. => Ishøj St."
55.5150188,12.2062134,n/a,"121: Solrød Strand St. - Køge St., Østre Banevej"
55.6726257,12.4878085,n/a,"Bus 22: Husum Torv => Kornmarksvej => Brøndbyvej => Glostrup St., Glosemosevej"
55.6921037,12.5869833,n/a,"Bus 27: Østerport St. => Indiakaj"
55.6655461,12.3907114,S,"Bus 500S: Ørestad St. => Kokkedal St."
55.6640875,12.3723947,n/a,"Bus 123: Glostrup St. => Roskilde St."
55.664086,12.3736185,n/a,"Bus 123: Roskilde St. => Glostrup St."
55.6525154,12.5175599,A,"Bus 1A: Avedøre Station => Hellerup Station"
55.4874996,12.1180407,n/a,"246 Borup St. - Solrød Strand St."
55.5350459,12.2142331,n/a,"246 Solrød Strand St. - Borup St."
55.6358313,12.0531306,A,"Bus 201A: Svogerslev, Søbredden => Roskilde St."
55.7053778,12.5320573,A,"Bus 4A: Buddinge St. => Friheden St."
55.7292318,12.5763876,n/a,"Bus 23: Klampenborg St. => Valby St."
55.7046111,12.4984055,C,"Bus 5C: Københavns Lufthavn => Herlev Hospital, Sløjfen"
55.9623797,12.0314819,R,"Bus 320R: Frederikssund St. => Helsinge St."
59.6468965,17.9286924,n/a,"Flixbus 602: Stockholm, Flughafen Arlanda Terminal 5 => Københavns Ingerslevsgade"
55.6874884,12.5617233,C,"Bus 5C: Københavns Lufthavn => Herlev Hospital, Sløjfen"
55.6465127,12.4147948,S,"Bus 500S: Kokkedal St. => Ørestad St."
55.7224493,12.485408,A,"Bus 2A: Tingbjerg, Gavlhusvej => Refshaleøen"
55.6726905,12.4751289,n/a,"Bus 21: Rødovre St. => Hellerup St."
55.6698606,12.5653532,n/a,"Flixbus 621: Aalborg Busterminal => Københavns Lufthavn"
55.6722056,12.5939809,A,"Bus 2A: Refshaleøen => Tingbjerg, Gavlhusvej"
55.6423679,12.1141372,n/a,"Bus 123: Glostrup St. => Roskilde St."
55.6392775,12.0885137,n/a,"Bus 123: Roskilde St. => Glostrup St."
