latitude, longitude, name, train_line
58.4162096,15.6261724,n/a,"Tog 80: København => Stockholm"
59.163178,17.6475843,n/a,"Tåg 80: Stockholm => København"
58.3228226,15.1321668,n/a,"Tåg 80: Stockholm => København"
55.4017777,10.3862054,n/a,"InterCityLyn 5: Københavns Lufthavn => Sønderborg"
55.501568,9.7344281,n/a,"InterCity 4: København Østerport => Esbjerg"
55.4905972,9.4813627,n/a,"InterCityLyn 5: Sønderborg => Københavns Lufthavn"
55.0695134,9.3328858,n/a,"InterCityLyn 5: Sønderborg => Københavns Lufthavn"
55.4803903,9.3041778,n/a,"InterCityLyn 5: Sønderborg => Københavns Lufthavn"
55.4278785,9.2865242,n/a,"InterCityLyn 5: Sønderborg => Københavns Lufthavn"
56.0092366,12.583231,n/a,"Train 95: Kalmar => Malmö => København => Helsingør"
55.9954629,12.5495214,n/a,"Train 95: Helsingør => København => Malmö => Kalmar"
55.9032555,12.5023903,n/a,"Regionaltog 40: Nivå => CPH Lufthavn"
55.6838724,12.5727106,n/a,"Regionaltog 40: Nivå => CPH Lufthavn"
55.7003665,12.5377601,F,"S-tog F: København Syd => Hellerup"
55.6952908,12.5266889,F,"S-tog F: København Syd => Hellerup"
55.6778218,12.4923752,F,"S-tog F: København Syd => Hellerup"
55.7049649,12.5909323,A,"S-tog A: Hillerød => Solrød Strand"
55.7427501,12.5576867,A,"S-tog A: Hillerød => Køge"
55.7428676,12.5579315,A,"S-tog A: Køge => Hillerød"
55.7616945,12.5211854,A,"S-tog A: Hillerød => Køge"
55.7680107,12.5030568,A,"S-tog A: Hillerød => Solrød Strand"
55.8710652,12.3568755,A,"S-tog A: Solrød Strand => Hillerød"
55.7207217,12.5410239,Bx,"S-tog Bx: Buddinge => Høje Taastrup"
55.7323971,12.536128,Bx,"S-tog Bx: Høje Taastrup => Buddinge"
55.7393438,12.5242734,Bx,"S-tog Bx: Høje Taastrup => Buddinge"
55.7567568,12.4731786,B,"S-tog B: Høje Taastrup => Farum"
55.6294749,12.4836143,A,"S-tog A: Hillerød => Solrød Strand"
55.6133891,12.3578655,A,"S-tog A: Hillerød => Solrød Strand"
55.5980108,12.3340665,A,"S-tog A: Hillerød => Solrød Strand"
55.5663081,12.2696947,A,"S-tog A: Hillerød => Solrød Strand"
55.4797894,12.1755616,A,"S-tog A: Hillerød => Køge"
55.6398033,12.4997751,A,"S-tog A: Hillerød => Solrød Strand"
55.6903215,12.4778688,C,"S-tog C: Frederikssund => Klampenborg"
55.7102613,12.4630766,C,"S-tog C: Frederikssund => Klampenborg"
55.7187926,12.4435031,H,"S-tog H: Ballerup => Østerport"
55.7296702,12.3582252,H,"S-tog H: Ballerup => Østerport"
55.7473685,12.3181006,C,"S-tog C: Frederikssund => Klampenborg"
55.74989,12.2405917,C,"S-tog C: Frederikssund => Klampenborg"
55.7668439,12.190022,C,"S-tog C: Frederikssund => Klampenborg"
55.7797799,12.1854448,C,"S-tog C: Frederikssund => Klampenborg"
55.7957424,12.1592918,C,"S-tog C: Frederikssund => Klampenborg"
55.6834698,12.5716858,A,"S-tog A: Hillerød => Solrød Strand"
55.5728286,12.0996947,n/a,"Regionaltog 51: Næstved => Roskilde"
55.5433839,12.117405,n/a,"Regionaltog 51: Næstved => Roskilde"
55.4579631,12.186674,n/a,"Regionaltog 51: Roskilde => Næstved"
55.4645051,8.7069886,n/a,"InterCity 4: København Østerport => Esbjerg"
55.7067655,13.18634,n/a,"Tog 80: København => Stockholm"
56.0317702,14.1510572,n/a,"Train 90: Helsingør => København => Malmø => Karlskrona"
55.7739528,12.5055467,n/a,"Nærumbanen"
55.7739462,12.5050668,n/a,"Lokaltog 910: Jægersborg => Nærum"
55.7849627,12.4973638,n/a,"Nærumbanen"
55.799759,12.5097837,n/a,"Nærumbanen"
57.6559238,12.0188611,n/a,"Train 100: Gothenburg => Malmö => Copenhagen"
57.4902084,12.0799319,n/a,"Train 100: Gothenburg => Malmö => Copenhagen"
54.7668584,11.8779193,n/a,"Regionaltog 54: Rødby Færge => Roskilde => København"
57.3632692,12.1357043,n/a,"Train 100: Gothenburg => Malmö => Copenhagen"
57.109345,12.2482916,n/a,"Train 100: Gothenburg => Malmö => Copenhagen"
56.0672219,14.4807748,n/a,"Train 90: Helsingør => København => Malmø => Karlskrona"
55.0118207,11.8991425,n/a,"Regionaltog 54: København => Roskilde => Rødby Færge"
55.3733882,12.0760603,n/a,"Regionaltog 51: Næstved => Roskilde"
55.7068794,13.1860224,n/a,"Train 100: Copenhagen => Malmö => Gothenburg"
55.8790527,12.857337,n/a,"Train 100: Copenhagen => Malmö => Gothenburg"
56.2457773,12.8538568,n/a,"Train 100: Gothenburg => Malmö => Copenhagen"
56.0438534,12.6946833,n/a,"Train 100: Gothenburg => Malmö => Copenhagen"
56.6691882,12.8645823,n/a,"Train 100: Copenhagen => Malmö => Gothenburg"
56.97208,9.856217,n/a,"InterCity 1: København => Aalborg"
56.6431283,9.7824324,n/a,"InterCity 1: København => Aalborg"
55.8378366,13.3052278,n/a,"Train 95: Helsingør => København => Malmö => Kalmar"
55.9371279,13.5420144,n/a,"Train 95: Helsingør => København => Malmö => Kalmar"
56.365341,8.6205221,n/a,"InterCityLyn 3: Struer => Herning => København"
55.6549264,12.5375112,A,"S-tog A: Hillerød => Solrød Strand"
55.7652239,12.4336971,B,"S-tog B: Høje Taastrup => Farum"
55.595362,11.8592441,n/a,"Regionaltog 56: København => Kalundborg"
55.6293709,12.4836978,A,"S-tog A: Solrød Strand => Hillerød"
55.6637187,12.5135906,Bx,"S-tog Bx: Høje Taastrup => Buddinge"
55.7447187,12.5080201,Bx,"S-tog Bx: Høje Taastrup => Buddinge"
55.3524029,11.6965209,n/a,"Regionaltog 54: Rødby Færge => Roskilde => København"
55.9637673,12.5329685,n/a,"Train 95: Helsingør => København => Malmö => Kalmar"
55.6674077,12.5041784,C,"S-tog C: Klampenborg => Frederikssund"
56.1586271,13.7635901,n/a,"Tog 80: København => Stockholm"
55.4759005,9.1357438,n/a,"InterCity 4: København Østerport => Esbjerg"
55.6933912,12.5882591,A,"S-tog A: Hillerød => Solrød Strand"
56.3810861,13.995448,n/a,"Train 95: Helsingør => København => Malmö => Kalmar"
58.5963316,16.1820694,n/a,"Tåg 80: Stockholm => København"
57.0078826,9.8978809,n/a,"InterCity 1: København => Aalborg"
55.6648947,12.459452,B,"S-tog B: Farum => Høje Taastrup"
55.6548414,12.5377056,A,"S-tog A: Solrød Strand => Hillerød"
59.3297015,18.0565815,n/a,"Tog 80: København => Stockholm"
59.3299737,18.0575722,n/a,"Tåg 80: Stockholm => København"
55.4579557,12.1867636,n/a,"Regionaltog 51: Næstved => Roskilde"
55.9636051,11.8527909,n/a,"Lokaltog 920R: Hillerød => Hundested"
55.5932728,13.0009383,n/a,"Train 95: Kalmar => Malmö => København => Helsingør"
55.6904088,12.4779786,C,"S-tog C: Klampenborg => Frederikssund"
55.8077169,12.4682648,A,"S-tog A: Hillerød => Solrød Strand"
55.6988891,12.4694841,C,"S-tog C: Klampenborg => Frederikssund"
55.6988645,12.4692879,C,"S-tog C: Frederikssund => Klampenborg"
55.7103127,12.4632263,C,"S-tog C: Klampenborg => Frederikssund"
55.7474038,12.3181552,C,"S-tog C: Klampenborg => Frederikssund"
55.7957926,12.1593427,C,"S-tog C: Klampenborg => Frederikssund"
55.7668564,12.1901335,C,"S-tog C: Klampenborg => Frederikssund"
55.7797911,12.1855546,C,"S-tog C: Klampenborg => Frederikssund"
55.7499439,12.2405898,C,"S-tog C: Klampenborg => Frederikssund"
55.7519375,12.2864553,C,"S-tog C: Frederikssund => Klampenborg"
55.751985,12.2864652,C,"S-tog C: Klampenborg => Frederikssund"
55.672259,12.5648209,H,"S-tog H: Ballerup => Østerport"
55.715444,12.5597791,Bx,"S-tog Bx: Høje Taastrup => Buddinge"
55.7153842,12.5599092,Bx,"S-tog Bx: Buddinge => Høje Taastrup"
55.7155174,12.5788041,A,"S-tog A: Hillerød => Solrød Strand"
55.7155495,12.5788459,A,"S-tog A: Solrød Strand => Hillerød"
55.7049786,12.5910912,A,"S-tog A: Solrød Strand => Hillerød"
55.6932515,12.5885641,n/a,"Regionaltog 40: Nivå => CPH Lufthavn"
55.7207356,12.5410859,Bx,"S-tog Bx: Høje Taastrup => Buddinge"
55.7566789,12.4730226,B,"S-tog B: Farum => Høje Taastrup"
55.7446075,12.5079082,Bx,"S-tog Bx: Buddinge => Høje Taastrup"
55.7323542,12.535933,Bx,"S-tog Bx: Buddinge => Høje Taastrup"
55.7392257,12.5241552,Bx,"S-tog Bx: Buddinge => Høje Taastrup"
55.7062314,12.5413401,F,"S-tog F: Hellerup => København Syd"
55.695324,12.5266717,F,"S-tog F: Hellerup => København Syd"
55.7003706,12.5376957,F,"S-tog F: Hellerup => København Syd"
55.6905173,12.5153255,F,"S-tog F: København Syd => Hellerup"
55.6905481,12.5152853,F,"S-tog F: Hellerup => København Syd"
55.6778063,12.4922958,F,"S-tog F: Hellerup => København Syd"
55.533366,12.2179825,A,"S-tog A: Hillerød => Køge"
55.5333047,12.218223,A,"S-tog A: Køge => Hillerød"
55.7297657,12.3583513,H,"S-tog H: Østerport => Ballerup"
56.5510147,14.1368974,n/a,"Train 95: Helsingør => København => Malmö => Kalmar"
57.109357,12.2481487,n/a,"Train 100: Copenhagen => Malmö => Gothenburg"
55.3294404,11.9608222,n/a,"Regionaltog 51: Næstved => Roskilde"
55.6486296,12.2688611,n/a,"Regionaltog 54: Rødby Færge => Roskilde => København"
55.6384716,12.0878634,n/a,"Regionaltog 54: Rødby Færge => Roskilde => København"
55.6641521,12.4937228,Bx,"S-tog Bx: Høje Taastrup => Buddinge"
55.6642741,12.4937383,Bx,"S-tog Bx: Buddinge => Høje Taastrup"
55.7154767,11.7079576,n/a,"Regionaltog 56: Kalundborg => København"
55.6545916,11.5021632,n/a,"Regionaltog 56: København => Kalundborg"
55.67247,12.5654242,n/a,"InterCityLyn 3: Struer => Herning => København"
55.6725243,12.565583,n/a,"Regionaltog 54: Rødby Færge => Roskilde => København"
55.6725583,12.5656821,n/a,"Regionaltog 56: København H => Østerport"
55.6724353,12.565323,n/a,"Regionaltog 40: Nivå => CPH Lufthavn"
55.6723802,12.5651619,n/a,"InterCityLyn 5: Københavns Lufthavn => Sønderborg"
55.6723467,12.565064,n/a,"Regionaltog 56: Østerport => København H"
55.6722889,12.5648951,n/a,"InterCity 4: København Østerport => Esbjerg"
55.6523242,12.5160146,A,"S-tog A: Solrød Strand => Hillerød"
55.6523621,12.516011,A,"S-tog A: Hillerød => Solrød Strand"
55.6649803,12.5597576,H,"S-tog H: Ballerup => Østerport"
55.663584,12.5135401,n/a,"Regionaltog 54: Rødby Færge => Roskilde => København"
55.6650537,12.5596531,A,"S-tog A: Solrød Strand => Hillerød"
55.706559,9.5368692,n/a,"InterCityLyn 3: Struer => Herning => København"
55.6514638,12.5267249,A,"S-tog A: Solrød Strand => Hillerød"
55.6515788,12.5266996,A,"S-tog A: Hillerød => Solrød Strand"
55.6645533,12.4750171,B,"S-tog B: Farum => Høje Taastrup"
55.6490335,12.268534,Bx,"S-tog Bx: Buddinge => Høje Taastrup"
55.6872235,12.4915364,H,"S-tog H: Østerport => Ballerup"
55.6854483,12.4986872,H,"S-tog H: Østerport => Ballerup"
55.6871213,12.4914714,H,"S-tog H: Ballerup => Østerport"
55.7068195,13.1866379,n/a,"Tåg 80: Stockholm => København"
55.706821,13.186695,n/a,"Train 100: Gothenburg => Malmö => Copenhagen"
55.6630433,12.3987789,Bx,"S-tog Bx: Høje Taastrup => Buddinge"
55.6484898,12.2689022,n/a,"Regionaltog 56: Kalundborg => København"
55.6488194,12.2687707,n/a,"Regionaltog 56: København => Kalundborg"
55.6597791,12.4989647,F,"S-tog F: Hellerup => København Syd"
55.6780431,12.5037367,C,"S-tog C: Klampenborg => Frederikssund"
55.6673826,12.5039955,C,"S-tog C: Frederikssund => Klampenborg"
55.6780219,12.5035447,C,"S-tog C: Frederikssund => Klampenborg"
55.753579,12.5414175,A,"S-tog A: Hillerød => Køge"
55.6297306,12.6015866,n/a,"Regionaltog 40: Nivå => CPH Lufthavn"
55.6284054,12.5802197,n/a,"Regionaltog 40: CPH Lufthavn => Nivå"
55.6298669,12.6015754,n/a,"Regionaltog 40: CPH Lufthavn => Nivå"
55.6283659,12.5802166,n/a,"Regionaltog 40: Nivå => CPH Lufthavn"
55.6295771,12.6494172,n/a,"Regionaltog 50: CPH Lufthavn => København S => Høje Taastrup => Slagelse"
55.6295397,12.6494168,n/a,"Regionaltog 50: Slagelse => Høje Taastrup => København S => CPH Lufthavn"
