node_id,lat,lon,municipality,region,type
inner,55.65882,12.289866,Høje-Taastrup Kommune,Region Hovedstaden,house
inner,55.6538,12.29575,Høje-Taastrup Kommune,Region Hovedstaden,house
inner,55.658789,12.291355,Høje-Taastrup Kommune,Region Hovedstaden,house
inner,55.65421,12.279603,Høje-Taastrup Kommune,Region Hovedstaden,house
inner,55.6557199,12.2972695,Høje-Taastrup Kommune,Region Hovedstaden,amenity
inner,55.653646,12.2898757,Høje-Taastrup Kommune,Region Hovedstaden,amenity
inner,55.6531224,12.2879316,Høje-Taastrup Kommune,Region Hovedstaden,amenity
inner,55.6517731,12.3009052,Høje-Taastrup Kommune,Region Hovedstaden,amenity
inner,55.648932,12.286933,Høje-Taastrup Kommune,Region Hovedstaden,house
inner,55.649758,12.285941,Høje-Taastrup Kommune,Region Hovedstaden,house
inner,55.6582341,12.285125,Høje-Taastrup Kommune,Region Hovedstaden,parking
inner,55.656018,12.293538,Høje-Taastrup Kommune,Region Hovedstaden,house
inner,55.6487831,12.2925513,Høje-Taastrup Kommune,Region Hovedstaden,amenity
inner,55.648873,12.293757,Høje-Taastrup Kommune,Region Hovedstaden,house
inner,55.6517731,12.3009052,Høje-Taastrup Kommune,Region Hovedstaden,amenity
inner,55.653646,12.2898757,Høje-Taastrup Kommune,Region Hovedstaden,amenity
inner,55.651428,12.28771,Høje-Taastrup Kommune,Region Hovedstaden,house
inner,55.6536873,12.2827036,Høje-Taastrup Kommune,Region Hovedstaden,necessity
inner,55.65377,12.287433,Høje-Taastrup Kommune,Region Hovedstaden,house
inner,55.650565,12.294603,Høje-Taastrup Kommune,Region Hovedstaden,house
inner,55.6525146,12.2881073,Høje-Taastrup Kommune,Region Hovedstaden,company
inner,55.6570276,12.2827529,Høje-Taastrup Kommune,Region Hovedstaden,amenity
inner,55.6557858,12.2851925,Høje-Taastrup Kommune,Region Hovedstaden,parking
inner,55.6582765,12.2933943,Høje-Taastrup Kommune,Region Hovedstaden,parking
inner,55.6545285,12.2854561,Høje-Taastrup Kommune,Region Hovedstaden,parking
inner,55.6526448,12.2974614,Høje-Taastrup Kommune,Region Hovedstaden,parking
inner,55.656945,12.2812499,Høje-Taastrup Kommune,Region Hovedstaden,parking
inner,55.647977,12.290118,Høje-Taastrup Kommune,Region Hovedstaden,house
