sample_id,time_min,distance_km,location_gps_list
walk,16.0,1.2,"[(55.7088446, 12.601899), (55.7076871, 12.5876131)]"
walk,35.0,2.5,"[(55.715447, 12.604373), (55.706358, 12.581267)]"
walk,8.0,0.611,"[(55.7078403, 12.5911685), (55.711313, 12.592417)]"
walk,37.0,2.7,"[(55.707014, 12.602256), (55.7157369, 12.6113569)]"
walk,35.0,2.6,"[(55.709295, 12.600466), (55.6981144, 12.5977775)]"
walk,40.0,3.0,"[(55.710563, 12.592885), (55.7019501, 12.5996698)]"
walk,20.0,1.5,"[(55.70454, 12.592273), (55.698089, 12.597691)]"
walk,16.0,1.2,"[(55.703952, 12.596358), (55.709062, 12.585804)]"
walk,4.0,0.34500000000000003,"[(55.711597, 12.591702), (55.711852, 12.5932)]"
walk,33.0,2.5,"[(55.708656, 12.596488), (55.7208019, 12.6090444)]"
walk,10.0,0.71,"[(55.7089352, 12.5929593), (55.708683, 12.584596)]"
walk,20.0,1.5,"[(55.708656, 12.596488), (55.7118935, 12.600259)]"
walk,20.0,1.5,"[(55.710563, 12.592885), (55.713852, 12.6059814)]"
walk,38.0,2.8,"[(55.70459, 12.599008), (55.7144983, 12.6070447)]"
walk,42.0,3.2,"[(55.709295, 12.600466), (55.7124193, 12.6174369)]"
walk,7.0,0.506,"[(55.7105449, 12.5975367), (55.708837, 12.592303)]"
walk,11.0,0.807,"[(55.7078403, 12.5911685), (55.709062, 12.585804)]"
walk,11.0,0.806,"[(55.70459, 12.599008), (55.7014409, 12.595828)]"
walk,18.0,1.3,"[(55.7088446, 12.601899), (55.709062, 12.585804)]"
walk,5.0,0.41300000000000003,"[(55.7159645, 12.6037297), (55.7144983, 12.6070447)]"
walk,24.0,1.8,"[(55.7119485, 12.5983555), (55.70454, 12.592273)]"
walk,10.0,0.748,"[(55.711597, 12.591702), (55.7076871, 12.5876131)]"
walk,55.0,4.1,"[(55.7100323, 12.6095416), (55.6981144, 12.5977775)]"
walk,33.0,2.4,"[(55.7100323, 12.6095416), (55.709062, 12.585804)]"
walk,21.0,1.6,"[(55.7119485, 12.5983555), (55.7187731, 12.6079337)]"
walk,12.0,0.903,"[(55.714147, 12.597026), (55.7113334, 12.6110577)]"
walk,27.0,2.0,"[(55.711597, 12.591702), (55.7208019, 12.6090444)]"
walk,22.0,1.7,"[(55.7119485, 12.5983555), (55.7113334, 12.6110577)]"
walk,22.0,1.7,"[(55.7119485, 12.5983555), (55.7157369, 12.6113569)]"
walk,60.0,4.4,"[(55.7107429, 12.6059976), (55.7019501, 12.5996698)]"
walk,33.0,2.5,"[(55.7089352, 12.5929593), (55.7208019, 12.6090444)]"
walk,21.0,1.6,"[(55.7100323, 12.6095416), (55.711313, 12.592417)]"
walk,12.0,0.856,"[(55.710563, 12.592885), (55.70454, 12.592273)]"
walk,34.0,2.5,"[(55.7105449, 12.5975367), (55.6981144, 12.5977775)]"
walk,4.0,0.34700000000000003,"[(55.7159645, 12.6037297), (55.7187731, 12.6079337)]"
walk,41.0,3.0,"[(55.709295, 12.600466), (55.7002918, 12.5998949)]"
walk,17.0,1.2,"[(55.709295, 12.600466), (55.709062, 12.585804)]"
walk,31.0,2.3,"[(55.709295, 12.600466), (55.7135967, 12.6114968)]"
walk,27.0,2.0,"[(55.7088446, 12.601899), (55.713852, 12.6059814)]"
walk,22.0,1.6,"[(55.704515, 12.5939), (55.698089, 12.597691)]"
walk,19.0,1.3,"[(55.710059, 12.597759), (55.706358, 12.581267)]"
walk,40.0,2.9,"[(55.7105449, 12.5975367), (55.7002918, 12.5998949)]"
walk,29.0,2.1,"[(55.7109262, 12.6050831), (55.709062, 12.585804)]"
walk,31.0,2.3,"[(55.709295, 12.600466), (55.7161146, 12.6103491)]"
walk,42.0,3.1,"[(55.7159645, 12.6037297), (55.698412, 12.590951)]"
walk,24.0,1.8,"[(55.710059, 12.597759), (55.7144983, 12.6070447)]"
walk,24.0,1.8,"[(55.7119485, 12.5983555), (55.708683, 12.584596)]"
walk,10.0,0.81,"[(55.7119485, 12.5983555), (55.711852, 12.5932)]"
walk,57.0,4.2,"[(55.7109262, 12.6050831), (55.7002918, 12.5998949)]"
walk,37.0,2.7,"[(55.703952, 12.596358), (55.7106516, 12.6064528)]"
walk,25.0,1.8,"[(55.7119485, 12.5983555), (55.7042097, 12.5918875)]"
walk,34.0,2.5,"[(55.711597, 12.591702), (55.6981144, 12.5977775)]"
walk,24.0,1.8,"[(55.7107429, 12.6059976), (55.7135967, 12.6114968)]"
walk,32.0,2.4,"[(55.7088446, 12.601899), (55.7135967, 12.6114968)]"
walk,31.0,2.3,"[(55.7078403, 12.5911685), (55.7187731, 12.6079337)]"
walk,59.0,4.4,"[(55.7109262, 12.6050831), (55.7019501, 12.5996698)]"
walk,43.0,3.2,"[(55.7078403, 12.5911685), (55.7124193, 12.6174369)]"
walk,7.0,0.539,"[(55.710059, 12.597759), (55.708837, 12.592303)]"
walk,23.0,1.7,"[(55.7105449, 12.5975367), (55.7144983, 12.6070447)]"
walk,31.0,2.3,"[(55.707569, 12.599947), (55.698089, 12.597691)]"
walk,54.0,4.0,"[(55.7123236, 12.6004495), (55.7019501, 12.5996698)]"
walk,24.0,1.7,"[(55.714147, 12.597026), (55.706358, 12.581267)]"
walk,13.0,0.978,"[(55.710059, 12.597759), (55.7076871, 12.5876131)]"
walk,27.0,2.0,"[(55.704515, 12.5939), (55.7002918, 12.5998949)]"
walk,14.0,1.1,"[(55.7100323, 12.6095416), (55.712065, 12.6073788)]"
walk,38.0,2.8,"[(55.710563, 12.592885), (55.7002918, 12.5998949)]"
walk,17.0,1.2,"[(55.711597, 12.591702), (55.706358, 12.581267)]"
walk,2.0,0.161,"[(55.7078403, 12.5911685), (55.708837, 12.592303)]"
walk,1.0,0.14100000000000001,"[(55.7119485, 12.5983555), (55.7118935, 12.600259)]"
walk,41.0,3.1,"[(55.703952, 12.596358), (55.7161146, 12.6103491)]"
walk,22.0,1.7,"[(55.710059, 12.597759), (55.713852, 12.6059814)]"
walk,16.0,1.2,"[(55.703952, 12.596358), (55.709062, 12.585804)]"
walk,1.0,0.091,"[(55.7109262, 12.6050831), (55.7106516, 12.6064528)]"
walk,22.0,1.6,"[(55.710059, 12.597759), (55.7014409, 12.595828)]"
walk,7.0,0.552,"[(55.710059, 12.597759), (55.711313, 12.592417)]"
walk,33.0,2.5,"[(55.70687, 12.596943), (55.7187731, 12.6079337)]"
walk,53.0,3.9,"[(55.703952, 12.596358), (55.7124193, 12.6174369)]"
walk,21.0,1.5,"[(55.7131719, 12.6009926), (55.7076871, 12.5876131)]"
walk,52.0,3.8,"[(55.7107429, 12.6059976), (55.698089, 12.597691)]"
walk,27.0,2.0,"[(55.7089352, 12.5929593), (55.714467, 12.6071993)]"
walk,37.0,2.7,"[(55.707569, 12.599947), (55.7002918, 12.5998949)]"
walk,5.0,0.423,"[(55.7159645, 12.6037297), (55.714467, 12.6071993)]"
walk,6.0,0.451,"[(55.7159645, 12.6037297), (55.7157369, 12.6113569)]"
walk,28.0,2.1,"[(55.70459, 12.599008), (55.7002918, 12.5998949)]"
walk,18.0,1.4,"[(55.710059, 12.597759), (55.7118935, 12.600259)]"
walk,27.0,2.0,"[(55.709165, 12.601148), (55.7144983, 12.6070447)]"
walk,6.0,0.466,"[(55.715447, 12.604373), (55.712065, 12.6073788)]"
walk,14.0,1.0,"[(55.710059, 12.597759), (55.7042097, 12.5918875)]"
walk,14.0,1.1,"[(55.7131719, 12.6009926), (55.7187731, 12.6079337)]"
walk,35.0,2.5,"[(55.7107429, 12.6059976), (55.706358, 12.581267)]"
walk,38.0,2.8,"[(55.710316, 12.599727), (55.7182484, 12.6167612)]"
walk,26.0,1.9,"[(55.710563, 12.592885), (55.7187731, 12.6079337)]"
walk,22.0,1.7,"[(55.7119485, 12.5983555), (55.7113334, 12.6110577)]"
walk,36.0,2.7,"[(55.707569, 12.599947), (55.7208019, 12.6090444)]"
walk,41.0,3.0,"[(55.704515, 12.5939), (55.7187731, 12.6079337)]"
walk,50.0,3.8,"[(55.704515, 12.5939), (55.7182484, 12.6167612)]"
walk,1.0,0.14100000000000001,"[(55.7119485, 12.5983555), (55.7118935, 12.600259)]"
walk,25.0,1.9,"[(55.7123236, 12.6004495), (55.7208019, 12.6090444)]"
walk,19.0,1.3,"[(55.7105449, 12.5975367), (55.706358, 12.581267)]"
walk,43.0,3.2,"[(55.7078403, 12.5911685), (55.7124193, 12.6174369)]"
walk,9.0,0.685,"[(55.710316, 12.599727), (55.708837, 12.592303)]"
walk,27.0,2.1,"[(55.7105449, 12.5975367), (55.7161146, 12.6103491)]"
walk,32.0,2.3,"[(55.710563, 12.592885), (55.698089, 12.597691)]"
walk,25.0,1.9,"[(55.7078403, 12.5911685), (55.713852, 12.6059814)]"
walk,9.0,0.662,"[(55.709295, 12.600466), (55.708837, 12.592303)]"
walk,48.0,3.5,"[(55.70454, 12.592273), (55.7124193, 12.6174369)]"
walk,34.0,2.5,"[(55.709295, 12.600466), (55.7208019, 12.6090444)]"
walk,27.0,2.0,"[(55.714147, 12.597026), (55.7182484, 12.6167612)]"
walk,15.0,1.0,"[(55.710563, 12.592885), (55.706358, 12.581267)]"
walk,17.0,1.3,"[(55.715447, 12.604373), (55.7124193, 12.6174369)]"
walk,46.0,3.4,"[(55.716338, 12.599927), (55.698089, 12.597691)]"
walk,23.0,1.7,"[(55.710563, 12.592885), (55.7113334, 12.6110577)]"
walk,51.0,3.8,"[(55.7159645, 12.6037297), (55.6981144, 12.5977775)]"
walk,38.0,2.9,"[(55.7109262, 12.6050831), (55.7124193, 12.6174369)]"
walk,24.0,1.8,"[(55.7119485, 12.5983555), (55.70454, 12.592273)]"
walk,55.0,4.1,"[(55.7100323, 12.6095416), (55.698089, 12.597691)]"
walk,25.0,1.8,"[(55.7089352, 12.5929593), (55.713852, 12.6059814)]"
walk,25.0,1.9,"[(55.7078403, 12.5911685), (55.713852, 12.6059814)]"
walk,40.0,3.0,"[(55.709295, 12.600466), (55.7182484, 12.6167612)]"
walk,33.0,2.4,"[(55.7119485, 12.5983555), (55.7014409, 12.595828)]"
walk,17.0,1.2,"[(55.711597, 12.591702), (55.706358, 12.581267)]"
walk,17.0,1.3,"[(55.704515, 12.5939), (55.708683, 12.584596)]"
