sample_id,time_min,distance_km,location_gps_list
walk,42.0,3.1,"[(55.650565, 12.294603), (55.6677414, 12.2856542)]"
walk,27.0,2.0,"[(55.656945, 12.2812499), (55.657542, 12.308096)]"
walk,28.0,2.0,"[(55.653646, 12.2898757), (55.665752, 12.278358)]"
walk,13.0,0.968,"[(55.6517731, 12.3009052), (55.6524833, 12.2944903)]"
walk,12.0,0.838,"[(55.65377, 12.287433), (55.6569471, 12.2853422)]"
walk,24.0,1.7,"[(55.6526448, 12.2974614), (55.6548583, 12.2820537)]"
walk,24.0,1.8,"[(55.653646, 12.2898757), (55.646884, 12.305576)]"
walk,10.0,0.733,"[(55.6531224, 12.2879316), (55.6548583, 12.2820537)]"
walk,20.0,1.5,"[(55.653646, 12.2898757), (55.657542, 12.308096)]"
walk,18.0,1.3,"[(55.65377, 12.287433), (55.6594963, 12.2845918)]"
walk,26.0,2.0,"[(55.656945, 12.2812499), (55.6649924, 12.291118)]"
walk,27.0,1.9,"[(55.653646, 12.2898757), (55.6645786, 12.2876838)]"
walk,33.0,2.4,"[(55.658789, 12.291355), (55.645386, 12.288527)]"
walk,23.0,1.7,"[(55.649758, 12.285941), (55.6524833, 12.2944903)]"
walk,32.0,2.3,"[(55.648932, 12.286933), (55.6594963, 12.2845918)]"
walk,18.0,1.4,"[(55.648932, 12.286933), (55.6528, 12.300347)]"
walk,13.0,0.9530000000000001,"[(55.6487831, 12.2925513), (55.646884, 12.305576)]"
walk,17.0,1.2,"[(55.6557858, 12.2851925), (55.6576453, 12.2941881)]"
walk,30.0,2.1,"[(55.6557858, 12.2851925), (55.6677414, 12.2856542)]"
walk,22.0,1.6,"[(55.6557858, 12.2851925), (55.6645786, 12.2876838)]"
walk,27.0,2.0,"[(55.656018, 12.293538), (55.6645786, 12.2876838)]"
walk,26.0,2.0,"[(55.6538, 12.29575), (55.647431, 12.28794)]"
walk,27.0,2.0,"[(55.6538, 12.29575), (55.6431677, 12.2815308)]"
walk,23.0,1.8,"[(55.6525146, 12.2881073), (55.659909, 12.299289)]"
walk,22.0,1.7,"[(55.6531224, 12.2879316), (55.657542, 12.308096)]"
walk,27.0,2.0,"[(55.656018, 12.293538), (55.64753, 12.290627)]"
walk,30.0,2.2,"[(55.651428, 12.28771), (55.6569471, 12.2853422)]"
walk,20.0,1.5,"[(55.656945, 12.2812499), (55.659909, 12.299289)]"
walk,34.0,2.5,"[(55.6538, 12.29575), (55.6437249, 12.2772628)]"
walk,35.0,2.6,"[(55.650565, 12.294603), (55.6649924, 12.291118)]"
walk,12.0,0.931,"[(55.649758, 12.285941), (55.644071, 12.29125)]"
walk,29.0,2.1,"[(55.65882, 12.289866), (55.647431, 12.28794)]"
walk,21.0,1.5,"[(55.65377, 12.287433), (55.6431677, 12.2815308)]"
walk,1.0,0.14400000000000002,"[(55.653646, 12.2898757), (55.6534465, 12.2919356)]"
walk,18.0,1.3,"[(55.648081, 12.293254), (55.6431677, 12.2815308)]"
walk,42.0,3.0,"[(55.6526448, 12.2974614), (55.6437249, 12.2772628)]"
walk,27.0,2.0,"[(55.653646, 12.2898757), (55.644071, 12.29125)]"
walk,13.0,0.986,"[(55.6531224, 12.2879316), (55.6476049, 12.2821751)]"
walk,19.0,1.4,"[(55.6531224, 12.2879316), (55.659909, 12.299289)]"
walk,13.0,0.973,"[(55.6526448, 12.2974614), (55.6534465, 12.2919356)]"
walk,10.0,0.774,"[(55.648932, 12.286933), (55.644071, 12.29125)]"
walk,7.0,0.562,"[(55.6517731, 12.3009052), (55.6528, 12.300347)]"
walk,32.0,2.3,"[(55.65377, 12.287433), (55.6677414, 12.2856542)]"
walk,5.0,0.41500000000000004,"[(55.6570276, 12.2827529), (55.659317, 12.279787)]"
walk,38.0,2.8,"[(55.6517731, 12.3009052), (55.6437249, 12.2772628)]"
walk,23.0,1.7,"[(55.649758, 12.285941), (55.6524833, 12.2944903)]"
walk,31.0,2.3,"[(55.6525146, 12.2881073), (55.6548583, 12.2820537)]"
walk,14.0,1.0,"[(55.6545285, 12.2854561), (55.6594963, 12.2845918)]"
walk,19.0,1.4,"[(55.658789, 12.291355), (55.665752, 12.278358)]"
walk,37.0,2.6,"[(55.6487831, 12.2925513), (55.6594963, 12.2845918)]"
walk,21.0,1.5,"[(55.6545285, 12.2854561), (55.6645786, 12.2876838)]"
walk,29.0,2.2,"[(55.6525146, 12.2881073), (55.6569471, 12.2853422)]"
walk,27.0,2.0,"[(55.6487831, 12.2925513), (55.659909, 12.299289)]"
walk,32.0,2.4,"[(55.6525146, 12.2881073), (55.6476049, 12.2821751)]"
walk,23.0,1.7,"[(55.6557858, 12.2851925), (55.657542, 12.308096)]"
walk,28.0,2.1,"[(55.651428, 12.28771), (55.64753, 12.290627)]"
walk,12.0,0.795,"[(55.6582341, 12.285125), (55.6548583, 12.2820537)]"
walk,19.0,1.4,"[(55.6517731, 12.3009052), (55.6576453, 12.2941881)]"
walk,19.0,1.4,"[(55.658789, 12.291355), (55.657542, 12.308096)]"
walk,33.0,2.4,"[(55.6582341, 12.285125), (55.6437249, 12.2772628)]"
walk,17.0,1.3,"[(55.648932, 12.286933), (55.6443025, 12.2985665)]"
