conn_id,orig_node_id,dest_node_id,orig_lat,orig_lon,dest_lat,dest_lon,orig_index,dest_index,time_min,distance_km
walk,inner,frontier,55.703313,12.548805,55.7140296,12.5252556,0,0,38.0,2.7
walk,inner,frontier,55.706297,12.53393,55.7140296,12.5252556,1,0,24.0,1.7
walk,inner,frontier,55.699487,12.544298,55.7140296,12.5252556,2,0,42.0,3.0
walk,inner,frontier,55.7062994,12.539518,55.7140296,12.5252556,3,0,29.0,2.1
walk,inner,frontier,55.700783,12.537368,55.7140296,12.5252556,4,0,33.0,2.3
walk,inner,frontier,55.7000131,12.5492476,55.7140296,12.5252556,5,0,44.0,3.2
walk,inner,frontier,55.707635,12.541504,55.7140296,12.5252556,6,0,29.0,2.0
walk,inner,frontier,55.706897,12.545951,55.7140296,12.5252556,7,0,37.0,2.7
walk,inner,frontier,55.705866,12.552629,55.7140296,12.5252556,8,0,41.0,3.0
walk,inner,frontier,55.7070378,12.5453286,55.7140296,12.5252556,9,0,35.0,2.5
walk,inner,frontier,55.703313,12.548805,55.7018087,12.5446688,0,1,5.0,0.397
walk,inner,frontier,55.706297,12.53393,55.7018087,12.5446688,1,1,16.0,1.2
walk,inner,frontier,55.699487,12.544298,55.7018087,12.5446688,2,1,6.0,0.498
walk,inner,frontier,55.7062994,12.539518,55.7018087,12.5446688,3,1,13.0,0.972
walk,inner,frontier,55.700783,12.537368,55.7018087,12.5446688,4,1,8.0,0.596
walk,inner,frontier,55.7000131,12.5492476,55.7018087,12.5446688,5,1,7.0,0.542
walk,inner,frontier,55.707635,12.541504,55.7018087,12.5446688,6,1,12.0,0.887
walk,inner,frontier,55.706897,12.545951,55.7018087,12.5446688,7,1,12.0,0.918
walk,inner,frontier,55.705866,12.552629,55.7018087,12.5446688,8,1,10.0,0.756
walk,inner,frontier,55.7070378,12.5453286,55.7018087,12.5446688,9,1,10.0,0.764
walk,inner,frontier,55.703313,12.548805,55.710163,12.559935,0,2,14.0,1.1
walk,inner,frontier,55.706297,12.53393,55.710163,12.559935,1,2,31.0,2.3
walk,inner,frontier,55.699487,12.544298,55.710163,12.559935,2,2,23.0,1.7
walk,inner,frontier,55.7062994,12.539518,55.710163,12.559935,3,2,28.0,2.0
walk,inner,frontier,55.700783,12.537368,55.710163,12.559935,4,2,27.0,2.0
walk,inner,frontier,55.7000131,12.5492476,55.710163,12.559935,5,2,22.0,1.7
walk,inner,frontier,55.707635,12.541504,55.710163,12.559935,6,2,22.0,1.7
walk,inner,frontier,55.706897,12.545951,55.710163,12.559935,7,2,24.0,1.7
walk,inner,frontier,55.705866,12.552629,55.710163,12.559935,8,2,9.0,0.6970000000000001
walk,inner,frontier,55.7070378,12.5453286,55.710163,12.559935,9,2,22.0,1.6
walk,inner,frontier,55.703313,12.548805,55.696667,12.530356,0,3,22.0,1.6
walk,inner,frontier,55.706297,12.53393,55.696667,12.530356,1,3,22.0,1.6
walk,inner,frontier,55.699487,12.544298,55.696667,12.530356,2,3,15.0,1.1
walk,inner,frontier,55.7062994,12.539518,55.696667,12.530356,3,3,20.0,1.5
walk,inner,frontier,55.700783,12.537368,55.696667,12.530356,4,3,11.0,0.8160000000000001
walk,inner,frontier,55.7000131,12.5492476,55.696667,12.530356,5,3,19.0,1.4
walk,inner,frontier,55.707635,12.541504,55.696667,12.530356,6,3,25.0,1.8
walk,inner,frontier,55.706897,12.545951,55.696667,12.530356,7,3,28.0,2.1
walk,inner,frontier,55.705866,12.552629,55.696667,12.530356,8,3,26.0,2.0
walk,inner,frontier,55.7070378,12.5453286,55.696667,12.530356,9,3,26.0,1.9
walk,inner,frontier,55.703313,12.548805,55.7015142,12.5468327,0,4,6.0,0.493
walk,inner,frontier,55.706297,12.53393,55.7015142,12.5468327,1,4,19.0,1.4
walk,inner,frontier,55.699487,12.544298,55.7015142,12.5468327,2,4,4.0,0.34800000000000003
walk,inner,frontier,55.7062994,12.539518,55.7015142,12.5468327,3,4,16.0,1.2
walk,inner,frontier,55.700783,12.537368,55.7015142,12.5468327,4,4,10.0,0.739
walk,inner,frontier,55.7000131,12.5492476,55.7015142,12.5468327,5,4,4.0,0.312
walk,inner,frontier,55.707635,12.541504,55.7015142,12.5468327,6,4,15.0,1.2
walk,inner,frontier,55.706897,12.545951,55.7015142,12.5468327,7,4,16.0,1.2
walk,inner,frontier,55.705866,12.552629,55.7015142,12.5468327,8,4,11.0,0.865
