conn_id,orig_node_id,dest_node_id,orig_lat,orig_lon,dest_lat,dest_lon,orig_index,dest_index,time_min,distance_km
walk,inner,frontier,55.65882,12.289866,55.6524833,12.2944903,0,0,21.0,1.6
walk,inner,frontier,55.6538,12.29575,55.6524833,12.2944903,1,0,12.0,0.96
walk,inner,frontier,55.658789,12.291355,55.6524833,12.2944903,2,0,20.0,1.5
walk,inner,frontier,55.65421,12.279603,55.6524833,12.2944903,3,0,30.0,2.2
walk,inner,frontier,55.6557199,12.2972695,55.6524833,12.2944903,4,0,10.0,0.792
walk,inner,frontier,55.653646,12.2898757,55.6524833,12.2944903,5,0,16.0,1.2
walk,inner,frontier,55.6531224,12.2879316,55.6524833,12.2944903,6,0,18.0,1.4
walk,inner,frontier,55.6517731,12.3009052,55.6524833,12.2944903,7,0,13.0,0.968
walk,inner,frontier,55.648932,12.286933,55.6524833,12.2944903,8,0,23.0,1.8
walk,inner,frontier,55.649758,12.285941,55.6524833,12.2944903,9,0,23.0,1.7
walk,inner,frontier,55.65882,12.289866,55.6645786,12.2876838,0,1,12.0,0.89
walk,inner,frontier,55.6538,12.29575,55.6645786,12.2876838,1,1,29.0,2.1
walk,inner,frontier,55.658789,12.291355,55.6645786,12.2876838,2,1,13.0,0.983
walk,inner,frontier,55.65421,12.279603,55.6645786,12.2876838,3,1,25.0,1.8
walk,inner,frontier,55.6557199,12.2972695,55.6645786,12.2876838,4,1,23.0,1.7
walk,inner,frontier,55.653646,12.2898757,55.6645786,12.2876838,5,1,27.0,1.9
walk,inner,frontier,55.6531224,12.2879316,55.6645786,12.2876838,6,1,25.0,1.8
walk,inner,frontier,55.6517731,12.3009052,55.6645786,12.2876838,7,1,36.0,2.6
walk,inner,frontier,55.648932,12.286933,55.6645786,12.2876838,8,1,38.0,2.8
walk,inner,frontier,55.649758,12.285941,55.6645786,12.2876838,9,1,40.0,2.9
walk,inner,frontier,55.65882,12.289866,55.6534465,12.2919356,0,2,19.0,1.4
walk,inner,frontier,55.6538,12.29575,55.6534465,12.2919356,1,2,3.0,0.24
walk,inner,frontier,55.658789,12.291355,55.6534465,12.2919356,2,2,18.0,1.3
walk,inner,frontier,55.65421,12.279603,55.6534465,12.2919356,3,2,17.0,1.3
walk,inner,frontier,55.6557199,12.2972695,55.6534465,12.2919356,4,2,7.0,0.5660000000000001
walk,inner,frontier,55.653646,12.2898757,55.6534465,12.2919356,5,2,1.0,0.14400000000000002
walk,inner,frontier,55.6531224,12.2879316,55.6534465,12.2919356,6,2,3.0,0.257
walk,inner,frontier,55.6517731,12.3009052,55.6534465,12.2919356,7,2,18.0,1.3
walk,inner,frontier,55.648932,12.286933,55.6534465,12.2919356,8,2,26.0,1.9
walk,inner,frontier,55.649758,12.285941,55.6534465,12.2919356,9,2,28.0,2.1
walk,inner,frontier,55.65882,12.289866,55.647431,12.28794,0,3,29.0,2.1
walk,inner,frontier,55.6538,12.29575,55.647431,12.28794,1,3,26.0,2.0
walk,inner,frontier,55.658789,12.291355,55.647431,12.28794,2,3,31.0,2.2
walk,inner,frontier,55.65421,12.279603,55.647431,12.28794,3,3,24.0,1.8
walk,inner,frontier,55.6557199,12.2972695,55.647431,12.28794,4,3,25.0,1.9
walk,inner,frontier,55.653646,12.2898757,55.647431,12.28794,5,3,22.0,1.7
walk,inner,frontier,55.6531224,12.2879316,55.647431,12.28794,6,3,19.0,1.5
