node_id,lat,lon,municipality,region,type
inner,55.718224,12.481611,Københavns Kommune,Region Hovedstaden,UNKNOWN_house
inner,55.7231027,12.477781,Gladsaxe Kommune,Region Hovedstaden,UNKNOWN_school
inner,55.7195844,12.4929897,Københavns Kommune,Region Hovedstaden,UNKNOWN_sports_centre
inner,55.7224774,12.4915155,Københavns Kommune,Region Hovedstaden,UNKNOWN_motorway
inner,55.7157423,12.4924165,Københavns Kommune,Region Hovedstaden,UNKNOWN_life_ring
inner,55.71688,12.479142,Københavns Kommune,Region Hovedstaden,UNKNOWN_house
inner,55.7212206,12.479678,Københavns Kommune,Region Hovedstaden,UNKNOWN_bench
inner,55.7195844,12.4929897,Københavns Kommune,Region Hovedstaden,UNKNOWN_sports_centre
inner,55.7252379,12.4862241,Gladsaxe Kommune,Region Hovedstaden,UNKNOWN_motorway
inner,55.719559,12.497372,Københavns Kommune,Region Hovedstaden,UNKNOWN_house
inner,55.721687,12.486215,Københavns Kommune,Region Hovedstaden,UNKNOWN_house
inner,55.720349,12.484238,Københavns Kommune,Region Hovedstaden,UNKNOWN_house
inner,55.722551,12.483346,Københavns Kommune,Region Hovedstaden,UNKNOWN_house
inner,55.7192428,12.4791386,Københavns Kommune,Region Hovedstaden,UNKNOWN_place_of_worship
inner,55.7260382,12.4842728,Gladsaxe Kommune,Region Hovedstaden,UNKNOWN_motorway
inner,55.7195844,12.4929897,Københavns Kommune,Region Hovedstaden,UNKNOWN_sports_centre
inner,55.722794,12.489119,Københavns Kommune,Region Hovedstaden,UNKNOWN_house
inner,55.718246,12.477398,Københavns Kommune,Region Hovedstaden,UNKNOWN_house
inner,55.7158174,12.4794276,Københavns Kommune,Region Hovedstaden,UNKNOWN_parking
inner,55.7195844,12.4929897,Københavns Kommune,Region Hovedstaden,UNKNOWN_sports_centre
inner,55.7257092,12.485207,Gladsaxe Kommune,Region Hovedstaden,UNKNOWN_motorway
inner,55.7227944,12.4868977,Københavns Kommune,Region Hovedstaden,UNKNOWN_parking
inner,55.7221223,12.4920769,Københavns Kommune,Region Hovedstaden,UNKNOWN_motorway
inner,55.721623,12.489789,Københavns Kommune,Region Hovedstaden,UNKNOWN_house
inner,55.720095,12.474304,Gladsaxe Kommune,Region Hovedstaden,UNKNOWN_house
inner,55.7176974,12.4874727,Københavns Kommune,Region Hovedstaden,UNKNOWN_residential
inner,55.723292,12.484455,Københavns Kommune,Region Hovedstaden,UNKNOWN_house
inner,55.7172787,12.4929345,Københavns Kommune,Region Hovedstaden,UNKNOWN_service
inner,55.719735,12.477376,Københavns Kommune,Region Hovedstaden,UNKNOWN_house
inner,55.7234735,12.4959112,Gladsaxe Kommune,Region Hovedstaden,UNKNOWN_spring
frontier,55.711831,12.468795,Københavns Kommune,Region Hovedstaden,UNKNOWN_house
frontier,55.726094,12.482028,Gladsaxe Kommune,Region Hovedstaden,UNKNOWN_house
frontier,55.721791,12.476148,Gladsaxe Kommune,Region Hovedstaden,UNKNOWN_house
frontier,55.725276,12.477805,Gladsaxe Kommune,Region Hovedstaden,UNKNOWN_house
frontier,55.7140796,12.5032743,Københavns Kommune,Region Hovedstaden,UNKNOWN_primary
frontier,55.709425,12.472247,Københavns Kommune,Region Hovedstaden,UNKNOWN_house
frontier,55.7109577,12.4783013,Københavns Kommune,Region Hovedstaden,UNKNOWN_parking
frontier,55.713279,12.481426,Københavns Kommune,Region Hovedstaden,UNKNOWN_house
frontier,55.726267,12.476164,Gladsaxe Kommune,Region Hovedstaden,UNKNOWN_house
frontier,55.7250917,12.4862741,Gladsaxe Kommune,Region Hovedstaden,UNKNOWN_motorway
frontier,55.709304,12.498434,Københavns Kommune,Region Hovedstaden,UNKNOWN_house
frontier,55.719903,12.484058,Københavns Kommune,Region Hovedstaden,UNKNOWN_house
frontier,55.711056,12.498328,Københavns Kommune,Region Hovedstaden,UNKNOWN_house
frontier,55.7283339,12.4979742,Gladsaxe Kommune,Region Hovedstaden,UNKNOWN_school
frontier,55.7297442,12.4803458,Gladsaxe Kommune,Region Hovedstaden,UNKNOWN_kindergarten
