sample_id,time_min,distance_km,location_gps_list
walk,11.0,0.843,"[(55.7062994, 12.539518), (55.703471, 12.529886)]"
walk,19.0,1.4,"[(55.7033005, 12.5451637), (55.697116, 12.531268)]"
walk,26.0,1.9,"[(55.707635, 12.541504), (55.692387, 12.540296)]"
walk,25.0,1.9,"[(55.7016522, 12.5478871), (55.710673, 12.549544)]"
walk,20.0,1.5,"[(55.704275, 12.543248), (55.697116, 12.531268)]"
walk,15.0,1.1,"[(55.706897, 12.545951), (55.6997284, 12.5420375)]"
walk,8.0,0.62,"[(55.7033005, 12.5451637), (55.70725, 12.54757)]"
walk,20.0,1.5,"[(55.704275, 12.543248), (55.693706, 12.5501)]"
walk,10.0,0.764,"[(55.7070378, 12.5453286), (55.7018087, 12.5446688)]"
walk,25.0,1.9,"[(55.699561, 12.549079), (55.699963, 12.526509)]"
walk,22.0,1.6,"[(55.706297, 12.53393), (55.696667, 12.530356)]"
walk,17.0,1.3,"[(55.6994296, 12.5394672), (55.699963, 12.526509)]"
walk,20.0,1.5,"[(55.7071865, 12.5383941), (55.697116, 12.531268)]"
walk,34.0,2.5,"[(55.699561, 12.549079), (55.711535, 12.526276)]"
walk,17.0,1.3,"[(55.7071865, 12.5383941), (55.7015142, 12.5468327)]"
walk,21.0,1.5,"[(55.6994296, 12.5394672), (55.7067103, 12.5559417)]"
walk,20.0,1.5,"[(55.699265, 12.546365), (55.699414, 12.52831)]"
walk,22.0,1.7,"[(55.705866, 12.552629), (55.7037758, 12.5344059)]"
walk,26.0,1.9,"[(55.7046981, 12.5511998), (55.699414, 12.52831)]"
walk,19.0,1.4,"[(55.7043351, 12.537701), (55.703838, 12.521105)]"
walk,26.0,1.9,"[(55.7070378, 12.5453286), (55.696667, 12.530356)]"
walk,14.0,1.0,"[(55.706297, 12.53393), (55.699963, 12.526509)]"
walk,21.0,1.6,"[(55.706897, 12.545951), (55.704033, 12.558744)]"
walk,18.0,1.4,"[(55.699487, 12.544298), (55.7003305, 12.5588664)]"
walk,20.0,1.5,"[(55.7043351, 12.537701), (55.7103295, 12.5521854)]"
walk,24.0,1.7,"[(55.704275, 12.543248), (55.711834, 12.529047)]"
walk,18.0,1.3,"[(55.707307, 12.531095), (55.697116, 12.531268)]"
walk,20.0,1.4,"[(55.7109115, 12.5434591), (55.711834, 12.529047)]"
walk,18.0,1.4,"[(55.703313, 12.548805), (55.696984, 12.5343476)]"
walk,20.0,1.5,"[(55.7060161, 12.5317139), (55.7015142, 12.5468327)]"
walk,30.0,2.2,"[(55.7109115, 12.5434591), (55.696667, 12.530356)]"
walk,35.0,2.6,"[(55.707307, 12.531095), (55.7003305, 12.5588664)]"
walk,19.0,1.4,"[(55.7033005, 12.5451637), (55.696667, 12.530356)]"
walk,24.0,1.7,"[(55.7071865, 12.5383941), (55.704033, 12.558744)]"
walk,22.0,1.6,"[(55.699561, 12.549079), (55.710163, 12.559935)]"
walk,5.0,0.446,"[(55.699265, 12.546365), (55.6997284, 12.5420375)]"
walk,20.0,1.4,"[(55.7062994, 12.539518), (55.711535, 12.526276)]"
walk,12.0,0.924,"[(55.704622, 12.53139), (55.703838, 12.521105)]"
walk,21.0,1.5,"[(55.7033005, 12.5451637), (55.699414, 12.52831)]"
