sample_id,time_min,distance_km,location_gps_list
BBB,19.0,5.8,"[(55.696225, 12.591119), (55.6954394, 12.5807317), (55.685412, 12.5858741), (55.6806336, 12.5990266)]"
BBB,20.0,5.558,"[(55.6956014, 12.5830167), (55.6954394, 12.5807317), (55.6760307, 12.5829106), (55.6735475, 12.582857082894737)]"
BBB,26.0,5.300000000000001,"[(55.701119, 12.585712), (55.6954394, 12.5807317), (55.6809955, 12.5940343), (55.676759, 12.583864)]"
BBB,11.0,4.237,"[(55.698424, 12.583961), (55.6985844, 12.5895256), (55.6896832, 12.583332), (55.67803, 12.580937)]"
BBB,22.0,6.74,"[(55.6961907, 12.588578010659308), (55.6976483, 12.5857326), (55.6758828, 12.5764403), (55.68980155, 12.585935533553979)]"
BBB,15.0,3.557,"[(55.6996136, 12.5870066), (55.6954394, 12.5807317), (55.6859902, 12.5838862), (55.686909099999994, 12.573982732416612)]"
BBB,16.0,4.7410000000000005,"[(55.700441, 12.580664), (55.696524, 12.5808821), (55.685412, 12.5858741), (55.6735475, 12.582857082894737)]"
BBB,26.0,8.168,"[(55.698236, 12.590989), (55.7030597, 12.587908), (55.6757998, 12.5763385), (55.68246439864357, 12.59476487417747)]"
BBB,22.0,5.878,"[(55.695886, 12.588236), (55.6985844, 12.5895256), (55.6791232, 12.5857092), (55.68980155, 12.585935533553979)]"
BBB,24.0,4.856999999999999,"[(55.699688, 12.580278), (55.6954394, 12.5807317), (55.6809955, 12.5940343), (55.690361, 12.587294)]"
BBB,24.0,7.462999999999999,"[(55.6963355, 12.5827554), (55.6985844, 12.5895256), (55.6758828, 12.5764403), (55.688345, 12.580767)]"
BBB,15.0,4.938,"[(55.695607, 12.579264), (55.6986671, 12.589858), (55.6896832, 12.583332), (55.6777469, 12.5963663)]"
BBB,14.0,3.48,"[(55.694834, 12.577948), (55.696524, 12.5808821), (55.6868888, 12.5772242), (55.67952405, 12.580250472419378)]"
BBB,13.0,3.67,"[(55.6952485, 12.5778027), (55.6954394, 12.5807317), (55.685412, 12.5858741), (55.678366, 12.575433)]"
BBB,20.0,5.6499999999999995,"[(55.6950594, 12.5862277), (55.6954394, 12.5807317), (55.6771366, 12.5805045), (55.686876, 12.594743)]"
BBB,25.0,6.782,"[(55.694935, 12.589321), (55.6986671, 12.589858), (55.6771366, 12.5805045), (55.686909099999994, 12.573982732416612)]"
BBB,29.0,8.600000000000001,"[(55.696084, 12.580586), (55.7030597, 12.587908), (55.6791232, 12.5857092), (55.688345, 12.580767)]"
BBB,10.0,3.04,"[(55.6961907, 12.588578010659308), (55.6976483, 12.5857326), (55.6878854, 12.5793495), (55.68518205, 12.57601179600542)]"
BBB,34.0,7.798,"[(55.694834, 12.577948), (55.7021616, 12.5773957), (55.6758828, 12.5764403), (55.686876, 12.594743)]"
