sample_id,time_min,distance_km,location_gps_list
walk,22.0,1.6,"[(55.722551, 12.483346), (55.727744, 12.498998)]"
walk,5.0,0.41000000000000003,"[(55.7212206, 12.479678), (55.721791, 12.476148)]"
walk,31.0,2.4,"[(55.718246, 12.477398), (55.711056, 12.498328)]"
walk,25.0,1.8,"[(55.7231027, 12.477781), (55.7289564, 12.4928583)]"
walk,29.0,2.2,"[(55.7260382, 12.4842728), (55.711056, 12.498328)]"
walk,28.0,2.2,"[(55.7257092, 12.485207), (55.711056, 12.498328)]"
walk,31.0,2.3,"[(55.718224, 12.481611), (55.727744, 12.498998)]"
walk,22.0,1.6,"[(55.719559, 12.497372), (55.726094, 12.482028)]"
walk,14.0,1.0,"[(55.7192428, 12.4791386), (55.725276, 12.477805)]"
walk,34.0,2.5,"[(55.7157423, 12.4924165), (55.7297442, 12.4803458)]"
walk,30.0,2.3,"[(55.721623, 12.489789), (55.711831, 12.468795)]"
walk,26.0,2.0,"[(55.7195844, 12.4929897), (55.7140796, 12.5032743)]"
walk,16.0,1.3,"[(55.7234735, 12.4959112), (55.7158366, 12.5033322)]"
walk,33.0,2.5,"[(55.722794, 12.489119), (55.709425, 12.472247)]"
walk,20.0,1.5,"[(55.721623, 12.489789), (55.7289564, 12.4928583)]"
walk,23.0,1.7,"[(55.7260382, 12.4842728), (55.722221, 12.504576)]"
walk,14.0,1.1,"[(55.7192428, 12.4791386), (55.726267, 12.476164)]"
walk,22.0,1.6,"[(55.7234735, 12.4959112), (55.725665, 12.476663)]"
walk,26.0,2.0,"[(55.7195844, 12.4929897), (55.7140796, 12.5032743)]"
walk,28.0,2.1,"[(55.7172787, 12.4929345), (55.710362, 12.473834)]"
walk,37.0,2.7,"[(55.7158174, 12.4794276), (55.727744, 12.498998)]"
walk,17.0,1.3,"[(55.723292, 12.484455), (55.717895, 12.469379)]"
walk,14.0,1.0,"[(55.7221223, 12.4920769), (55.727744, 12.498998)]"
